Change Number,Episode ,Unique Object,Cubicle,Location inside Cubicle,Change appear or disappear
52,3,"Pink Toy,",Jerry,In front of white board,appeared
53,3,Frisbee,Frank,In front of monitor,appeared
54,3,Purple Human shaped stress toy.,Daniel,In front the two monitors,appeared
55,3,"Coup, boardgame box",Amy ,In front of the whiteboard,disappeared
56,3,"Uno, Board game box, pack or cards",Alex,Besides the duracell baterries,appeared
57,3,Painting,Alana,Left side of cubical close to edge,appeared
58,3,"Electronics Fundamentals Book, red, blue and yellow.",Alana,Left side of cubical,disappeared
59,3,"Table Computer, black",Eddie,Besides gray backpack,appeared
60,3,GPU RTX 4090 Box,Roberto,On top white PC,disappeared
61,3,"Dixit, board game box",Kristine,Close to monitor,disappeared
62,3,"125 Box of chocolates, red box",Lauren,On top of boxes on the left side of cubical,disappeared
63,3,"Tata Tea, Green Box",Sherlock Holmes,"Right side of cubical, close to edge",appeared
64,3,"Bridge of park, white box of card",James,Right side of cubical,appeared
65,3,Box of Gloves,Jason,Left side of cubical,disappeared
66,3,"Android Toy, green humanoid toy",Carleton,Right side of cubical in front of monitor,appeared
67,3,"Roman head statue, toy",2008R,On top of PC case,appeared
68,3,"Newport, black brief case",2008Q,Close to the whiteboard,appeared
69,4,Muffin ,Kristine,Right side of cubical,disappeared
70,4,White phone charger with red cable,Roberto,At the white power bar at the back of the cubical,disappeared
71,4,Rubix Cube,Jack. J,At the whiteboard,appeared
72,4,Pig Pink Plush,Emily ,Right side of cubical,disappeared
73,4,Box of Gloves,Jack. S,Left side of cubical,appeared
74,4,Brow Jacket,Jerry,On top fo the chair,appeared
75,4,"Pink Box, with chinese writing and bottle inside",Daniel,back of the cubical beside monitor,appeared
76,4,Eiffel tower toy,Daniel,In front of monitor,disappeared
77,4,"125 box of chocolated, red box",Frank,Besides monitor,appeared
78,4,GPU RTX 4090 Box,Daniel,back of the cubical beside whiteboard,appeared
79,4,"Coup, boardgame box",Alex,On top of PC case,appeared
80,4,Duracel Batteries,Alex,"Left side of cubical, on top of the picture frames",disappeared
81,4,"Uno, Board game box, pack or cards",Alex,"Left side of cubical, on top of the picture frames",disappeared
82,4,GPU RTX 2080 Ti ,Amy ,"left side of cubical, close to the edge",disappeared
83,4,Painting,Alana,"Left side of cubical, close to edge",disappeared
84,4,Green triceratops dinosaur toy,Alana,Right side of cubical,disappeared
85,4,"Table Computer, black",Eddie,Right side of cubical,disappeared
86,4,"Laptop, Lenovo thinkpad",Eddie,Right side of cubical,appeared
87,4,Cpu HeatSink,Kristine,"Back of the cubical, below whiteboard",appeared
88,4,"Dixit, board game box",Cecilia,"Back of the cubical, below whiteboard",appeared
89,4,1000 Piece Puzzle,Sherlock Holmes,Right side of cubical,disappeared
90,4,"Electronics Fundamentals Book, red, blue and yellow.",Sherlock Holmes,Right side of cubical,appeared
91,4,"Exploting Kittens, Boardgame, blue box",James,Close to PC,appeared
92,4,Black Ethernet Cable,Jessica,Left side of PC,disappeared
93,5,Green triceratops dinosaur toy,Jack. J,"Right side of cubical, in top of black box",appeared
94,5,Eiffel tower toy,Emily,On top of the PC,appeared
95,5,Box of Gloves,Jack. S,Left side of cubical,disappeared
96,5,Duracel Batteries,Daniel,In front of Monitor,appeared
97,5,Purple Human shaped stress toy.,Daniel,In front of Monitors,disappeared
98,5,"Uno, Board game box, pack or cards",Amy ,In front of PC,appeared
99,5,GPU RTX 2080 Ti ,Alex,"Left side of cubical, on top of the picture frames",appeared
100,5,"Coup, boardgame box",Alex,On top of PC ,disappeared
101,5,Catan Board game box red,Eddie,On left side of cubical,appeared
102,5,Painting,Eddie,Right side of cubical,appeared
103,5,"Laptop, Lenovo thinkpad",Eddie,"Right side of cubical, beside gray backpack",disappeared
104,5,1000 Piece Puzzle,Cecilia,Left side of cubical,appeared
105,5,Cpu HeatSink,Kristine,"Back of the cubical, below whiteboard",disappeared
106,5,"Nvidia Jetson Nano Developer Kit, Small Green Box",Kristine,"Left side of cubical, near the back",disappeared
107,5,Blue Box full of ping pong balls,Lauren,Right side of cubical,appeared
108,5,Pig Pink Plush,Sherlock Holmes,Right side of cubical,appeared
109,5,"Electronics Fundamentals Book, red, blue and yellow.",Sherlock Holmes,Left side of cubical,disappeared
110,5,"Table Computer, black",Alexandria,Left side of cubical,appeared
111,5,"Butter Cookies, Metal box",James,Right side of cubical,disappeared
112,5,"Exploting Kittens, Boardgame, blue box",James,right side of cubical,disappeared
113,5,"Android Toy, green humanoid toy",Carleton,Right side of cubical,disappeared
114,5,"Roman head statue, toy",2008R,On top of PC,disappeared
115,5,Pencil Holder ,2008R,Right side of cubical,appeared
